fold,train_acc,val_acc,balanced_accuracy,val_loss,precision,recall,specificity,f1,auc,far,frr,eer,eer_threshold,latency_ms,fps,cpu_percent_total,ram_after_mb
1,0.9844,0.9475,0.9475,0.5791,0.9752,0.9183,0.9767,0.9459,0.9807,0.0233,0.0817,0.0633,0.1572,0.1741,5745.05,7.01,772.89
2,0.985,0.9408,0.9408,0.5621,0.9649,0.915,0.9666,0.9393,0.9795,0.0334,0.085,0.0567,0.1922,0.172,5813.49,9.0,794.51
3,0.9844,0.9591,0.9591,0.5402,0.9599,0.9583,0.9599,0.9591,0.9819,0.0401,0.0417,0.0417,0.4795,0.1752,5706.83,8.83,816.42
4,0.9873,0.9533,0.9533,0.5422,0.9892,0.9165,0.99,0.9515,0.9812,0.01,0.0835,0.055,0.0921,0.2798,3573.98,5.82,835.13
5,0.9829,0.9425,0.9424,0.5478,0.9538,0.9299,0.955,0.9417,0.982,0.045,0.0701,0.0634,0.3203,0.1556,6428.73,8.38,852.51
