fold,train_acc,val_acc,balanced_accuracy,val_loss,precision,recall,specificity,f1,auc,far,frr,eer,eer_threshold,latency_ms,fps,cpu_percent_total,ram_after_mb
1,0.9946,0.9558,0.9558,0.6383,0.9691,0.9417,0.97,0.9552,0.986,0.03,0.0583,0.0467,0.1842,0.2635,3794.71,5.56,1280.04
2,0.9933,0.9541,0.9541,0.6055,0.9417,0.9683,0.9399,0.9548,0.9918,0.0601,0.0317,0.0434,0.8198,0.3051,3277.99,8.01,1304.39
3,0.9933,0.9691,0.9691,0.583,0.9763,0.9617,0.9766,0.9689,0.9902,0.0234,0.0383,0.035,0.2893,0.1653,6050.16,6.9,1331.36
4,0.9977,0.97,0.97,0.5971,0.9812,0.9583,0.9817,0.9696,0.9905,0.0183,0.0417,0.035,0.1642,0.1751,5711.66,13.49,1359.72
5,0.9942,0.9641,0.9641,0.6052,0.9877,0.9399,0.9883,0.9632,0.9901,0.0117,0.0601,0.0417,0.0601,0.1673,5976.44,4.87,1389.51
