fold,train_acc,val_acc,balanced_accuracy,val_loss,precision,recall,specificity,f1,auc,far,frr,eer,eer_threshold,latency_ms,fps,cpu_percent_total,ram_after_mb
1,0.9967,0.9408,0.9408,0.8035,0.9552,0.925,0.9567,0.9399,0.9792,0.0433,0.075,0.0667,0.1802,0.1933,5171.99,10.94,908.86
2,0.9906,0.9466,0.9466,0.6975,0.9669,0.925,0.9683,0.9455,0.9827,0.0317,0.075,0.055,0.1832,0.2419,4133.64,6.73,943.2
3,0.9896,0.9508,0.9508,0.6804,0.9456,0.9567,0.9449,0.9511,0.9835,0.0551,0.0433,0.0434,0.7137,0.1885,5304.06,9.07,977.15
4,0.9925,0.9408,0.9408,0.6825,0.9505,0.9299,0.9517,0.9401,0.9819,0.0483,0.0701,0.0567,0.2993,0.2268,4408.94,7.9,1004.91
5,0.9952,0.945,0.9449,0.7433,0.9603,0.9282,0.9617,0.944,0.9833,0.0383,0.0718,0.0601,0.2082,0.1968,5081.87,9.93,1029.09
