Model,Accuracy (%),Precision (%),Recall (%),F1-Score,EER (%),Optimal Threshold,AUC
Facenet_mtcnn,92.43333333333334,92.43333333333334,92.43333333333334,0.9243333333333333,7.566666666666666,0.30607334544808285,0.9617356666666665
Facenet_retinaface,94.83333333333334,94.83333333333334,94.83333333333334,0.9483333333333334,5.166666666666667,0.3353046429926031,0.9791332222222222
Facenet512_mtcnn,93.25,93.23558813728758,93.26666666666667,0.9325112481253125,6.766666666666667,0.31540331703198465,0.9682092222222223
Facenet512_retinaface,95.55,95.5348217260913,95.56666666666666,0.9555074154307616,4.466666666666667,0.34959721307664116,0.9828535555555555
