model,detector,mlp_config,train_loss,test_loss,train_acc,test_acc,balanced_accuracy,precision,recall,specificity,f1,auc,far,frr,eer,eer_threshold,tp,tn,fp,fn,overfit_gap,latency_ms,fps,throughput_samples_per_sec,total_predict_time_s,cpu_time_s,cpu_percent_total,cpu_percent_single_core_equiv,ram_before_mb,ram_after_mb,ram_delta_mb,parameters,model_size_mb
Facenet512_mtcnn_Reg2_256x128x64_regularized,mtcnn,Reg2_256x128x64,0.4697,0.629,0.9883,0.9442,0.9442,0.9619,0.925,0.9633,0.9431,0.9789,0.0367,0.075,0.0583,0.2563,555,578,22,45,0.0442,0.1508,6629.2,6629.2,0.181,0.2031,7.01,112.21,1487.7,1487.75,0.05,305153,3.53
Facenet512_retinaface_Reg1_512x256x128_regularized,retinaface,Reg1_512x256x128,0.4496,0.6446,0.9925,0.9542,0.9542,0.9756,0.9317,0.9767,0.9531,0.9847,0.0233,0.0683,0.0533,0.0841,559,586,14,41,0.0383,0.1857,5385.63,5385.63,0.2228,0.3281,9.2,147.26,1523.49,1523.55,0.06,692225,7.96
