fold,train_acc,val_acc,balanced_accuracy,val_loss,precision,recall,specificity,f1,auc,far,frr,eer,eer_threshold,latency_ms,fps,cpu_percent_total,ram_after_mb
1,0.9958,0.96,0.96,0.6147,0.9726,0.9467,0.9733,0.9595,0.988,0.0267,0.0533,0.0433,0.2743,0.2,4999.63,10.17,1049.83
2,0.9954,0.9658,0.9658,0.5477,0.9682,0.9633,0.9683,0.9657,0.9915,0.0317,0.0367,0.0367,0.4044,0.1811,5522.85,8.1,1067.71
3,0.9937,0.9591,0.9591,0.4776,0.9524,0.9667,0.9516,0.9595,0.9912,0.0484,0.0333,0.035,0.7477,0.1781,5615.89,9.15,1090.15
4,0.9925,0.9683,0.9683,0.5002,0.9828,0.9533,0.9833,0.9678,0.9897,0.0167,0.0467,0.0367,0.0951,0.1832,5457.6,7.11,1116.64
5,0.9962,0.9675,0.9675,0.5404,0.9844,0.9499,0.985,0.9669,0.9893,0.015,0.0501,0.0434,0.1642,0.2214,4517.31,9.57,1144.32
