fold,train_acc,val_acc,balanced_accuracy,val_loss,precision,recall,specificity,f1,auc,far,frr,eer,eer_threshold,latency_ms,fps,cpu_percent_total,ram_after_mb
1,0.9908,0.9392,0.9392,0.7083,0.9474,0.93,0.9483,0.9386,0.9779,0.0517,0.07,0.0683,0.4264,0.6614,1511.96,6.15,636.01
2,0.9908,0.9416,0.9416,0.5876,0.9359,0.9483,0.9349,0.9421,0.983,0.0651,0.0517,0.055,0.6086,0.6189,1615.82,6.98,679.96
3,0.994,0.9525,0.9525,0.6161,0.9473,0.9583,0.9466,0.9528,0.9816,0.0534,0.0417,0.0467,0.5876,1.0983,910.51,5.41,706.57
4,0.994,0.9408,0.9408,0.6735,0.9731,0.9065,0.975,0.9386,0.981,0.025,0.0935,0.0601,0.0731,0.3305,3025.39,5.91,730.31
5,0.9933,0.9533,0.9533,0.6118,0.9673,0.9382,0.9683,0.9525,0.9836,0.0317,0.0618,0.0517,0.1972,0.2243,4457.81,7.26,758.39
